"last_name, first_name","player_id","year","babip"
"Hunter, Torii","116338","2015",".258"
"Ortiz, David","120074","2015",".264"
"Rodriguez, Alex","121347","2015",".278"
"Ramirez, Aramis","133380","2015",".253"
"Beltré, Adrian","134181","2015",".295"
"Beltrán, Carlos","136860","2015",".297"
"Werth, Jayson","150029","2015",".253"
"Cuddyer, Michael","150212","2015",".312"
"Pierzynski, A.J.","150229","2015",".310"
"Rollins, Jimmy","276519","2015",".246"
"Uribe, Juan","346874","2015",".288"
"Suzuki, Ichiro","400085","2015",".257"
"Martinez, Victor","400121","2015",".253"
"Utley, Chase","400284","2015",".230"
"Pujols, Albert","405395","2015",".217"
"Byrd, Marlon","407781","2015",".297"
"Teixeira, Mark","407893","2015",".246"
"Mauer, Joe","408045","2015",".309"
"Cabrera, Miguel","408234","2015",".384"
"González, Adrián","408236","2015",".294"
"Phillips, Brandon","408252","2015",".315"
"Infante, Omar","408299","2015",".255"
"Reyes, José","408314","2015",".301"
"Peralta, Jhonny","425509","2015",".311"
"LaRoche, Adam","425560","2015",".269"
"Rios, Alex","425567","2015",".294"
"Loney, James","425766","2015",".298"
"Choo, Shin-Soo","425783","2015",".335"
"Rivera, René","425784","2015",".230"
"Francoeur, Jeff","425796","2015",".297"
"Molina, Yadier","425877","2015",".295"
"Fielder, Prince","425902","2015",".323"
"Canó, Robinson","429664","2015",".316"
"Encarnación, Edwin","429665","2015",".267"
"Hardy, J.J.","429666","2015",".257"
"Howard, Ryan","429667","2015",".272"
"DeJesus, David","430203","2015",".266"
"Johnson, Kelly","430637","2015",".315"
"Bautista, José","430832","2015",".237"
"Peña, Brayan","430910","2015",".303"
"Jones, Adam","430945","2015",".286"
"Aybar, Erick","430947","2015",".300"
"Hill, Aaron","431094","2015",".253"
"Martin, Russell","431145","2015",".262"
"Granderson, Curtis","434158","2015",".305"
"Ruiz, Carlos","434563","2015",".242"
"Pagán, Ángel","434636","2015",".310"
"Davis, Rajai","434658","2015",".308"
"Ramirez, Hanley","434670","2015",".257"
"Morales, Kendrys","434778","2015",".319"
"Kendrick III, Howie","435062","2015",".342"
"Napoli, Mike","435063","2015",".268"
"Kinsler, Ian","435079","2015",".323"
"McCann, Brian","435263","2015",".235"
"Walker, Neil","435522","2015",".306"
"Suzuki, Kurt","435559","2015",".265"
"Desmond, Ian","435622","2015",".307"
"Cruz Jr., Nelson","443558","2015",".350"
"Trumbo, Mark","444432","2015",".313"
"Peralta, David","444482","2015",".368"
"Ethier, Andre","444843","2015",".330"
"Escobar, Alcides","444876","2015",".286"
"Prado, Martín","445988","2015",".313"
"Duda, Lucas","446263","2015",".285"
"Longoria, Evan","446334","2015",".309"
"Guyer, Brandon","446386","2015",".303"
"Reynolds, Mark","448602","2015",".300"
"Davis, Chris","448801","2015",".319"
"Aviles, Mike","449107","2015",".250"
"Zobrist, Ben","450314","2015",".288"
"Fowler, Dexter","451594","2015",".308"
"Flowers, Tyler","452095","2015",".320"
"Headley, Chase","452104","2015",".317"
"Drew, Stephen","452220","2015",".201"
"Smith, Seth","452234","2015",".298"
"Lind, Adam","452252","2015",".309"
"Cabrera, Asdrúbal","452678","2015",".306"
"Ellsbury, Jacoby","453056","2015",".301"
"Tulowitzki, Troy","453064","2015",".331"
"Fuld, Sam","453539","2015",".235"
"Blackmon, Charlie","453568","2015",".325"
"Blanco, Grégor","453923","2015",".338"
"Frazier, Todd","453943","2015",".271"
"Iannetta, Chris","455104","2015",".225"
"Young, Chris","455759","2015",".283"
"Markakis, Nick","455976","2015",".338"
"Pedroia, Dustin","456030","2015",".308"
"Castillo, Welington","456078","2015",".263"
"Bourn, Michael","456422","2015",".315"
"Pearce, Steve","456665","2015",".232"
"Butler, Billy","456714","2015",".282"
"Cain, Lorenzo","456715","2015",".347"
"De Aza, Alejandro","457477","2015",".331"
"McCutchen, Andrew","457705","2015",".339"
"Jackson, Austin","457706","2015",".342"
"Upton, Justin","457708","2015",".304"
"Maybin, Cameron","457727","2015",".316"
"Turner, Justin","457759","2015",".321"
"Posey III, Buster","457763","2015",".320"
"Espinosa, Danny","457787","2015",".299"
"Bruce, Jay","457803","2015",".251"
"Votto, Joey","458015","2015",".371"
"Coghlan, Chris","458085","2015",".284"
"Rasmus, Colby","458675","2015",".305"
"Gardner, Brett","458731","2015",".312"
"Hundley, Nick","460026","2015",".356"
"Braun, Ryan","460075","2015",".322"
"Gordon, Alex","460086","2015",".327"
"Gómez, Carlos","460576","2015",".307"
"Moss, Brandon","461235","2015",".285"
"Kemp, Matt","461314","2015",".311"
"Venable, Will","461416","2015",".317"
"Murphy, David","461815","2015",".300"
"Plouffe, Trevor","461858","2015",".274"
"Andrus, Elvis","462101","2015",".283"
"Cervelli, Francisco","465041","2015",".359"
"Cabrera, Melky","466320","2015",".297"
"Sandoval, Pablo","467055","2015",".270"
"Ramos, Wilson","467092","2015",".256"
"Santana, Carlos","467793","2015",".261"
"Parra, Gerardo","467827","2015",".325"
"Montero, Miguel","471083","2015",".306"
"González, Carlos","471865","2015",".284"
"Valbuena, Luis","472528","2015",".235"
"Mercer, Jordy","474568","2015",".290"
"Belt, Brandon","474832","2015",".363"
"Carter, Chris","474892","2015",".244"
"Alonso, Yonder","475174","2015",".313"
"Flaherty, Ryan","475247","2015",".251"
"Smoak, Justin","475253","2015",".254"
"Zimmerman, Ryan","475582","2015",".268"
"Álvarez, Pedro","476883","2015",".279"
"Brantley Jr., Michael","488726","2015",".318"
"Castro, Jason","488771","2015",".280"
