"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Judge, Aaron","NYY","2024","adj_xhr","23.9",13,36,30,"49.2","61",56.2,"4.8"
"Ohtani, Shohei","LAD","2024","adj_xhr","23.3",19,26,33,"57.9","57",53.1,"3.9"
"Soto, Juan","NYY","2024","adj_xhr","27.4",16,29,26,"57.8","45",47.7,"-2.7"
"Santander, Anthony","BAL","2024","adj_xhr","28.1",10,22,20,"45.5","44",36.6,"7.4"
"Ramírez, José","CLE","2024","adj_xhr","24.8",12,28,18,"43.9","41",40.6,"0.4"
"Ozuna, Marcell","ATL","2024","adj_xhr","30.2",17,30,19,"48.7","39",42.9,"-3.9"
"Rooker, Brent","OAK","2024","adj_xhr","23.5",9,21,24,"61.5","39",39.9,"-0.9"
"Schwarber, Kyle","PHI","2024","adj_xhr","25.3",5,21,23,"59","39",38.4,"0.6"
"Alonso, Pete","NYM","2024","adj_xhr","22.8",8,19,22,"57.9","38",35.7,"2.3"
"Henderson, Gunnar","BAL","2024","adj_xhr","23.2",11,24,12,"32.4","37",32.9,"4.1"
"Hernández, Teoscar","LAD","2024","adj_xhr","25.2",6,26,14,"38.9","36",35.2,"0.8"
"Marte, Ketel","AZ","2024","adj_xhr","23.5",10,18,16,"44.4","36",30.7,"5.3"
"Lindor, Francisco","NYM","2024","adj_xhr","23.6",10,24,17,"48.6","35",33.4,"1.6"
"Alvarez, Yordan","HOU","2024","adj_xhr","27.4",12,21,15,"42.9","35",29.6,"5.4"
"Raleigh, Cal","SEA","2024","adj_xhr","23.4",13,18,19,"55.9","34",33,"1.0"
"Stanton, Giancarlo","NYY","2024","adj_xhr","23.9",14,16,21,"61.8","34",35.5,"-1.5"
"Vientos, Mark","NYM","2024","adj_xhr","23.2",8,19,11,"34.4","32",26,"6.0"
"Adames, Willy","MIL","2024","adj_xhr","24.8",15,25,10,"31.3","32",31.7,"0.3"
"Witt Jr., Bobby","KC","2024","adj_xhr","21.1",13,23,22,"68.8","32",38.4,"-6.4"
"Naylor, Josh","CLE","2024","adj_xhr","27.8",7,20,13,"41.9","31",29.2,"1.8"
"Harper, Bryce","PHI","2024","adj_xhr","26",13,18,11,"35.5","31",25.8,"5.2"
"O'Neill, Tyler","BOS","2024","adj_xhr","21.2",7,17,15,"48.4","31",29.5,"1.5"
"Machado, Manny","SD","2024","adj_xhr","28.4",11,24,10,"33.3","30",28.3,"1.7"
"Seager, Corey","TEX","2024","adj_xhr","22.6",17,21,8,"26.7","30",26.7,"3.3"
"Guerrero Jr., Vladimir","TOR","2024","adj_xhr","27.9",15,22,15,"50","30",31.6,"-1.6"
"Suárez, Eugenio","AZ","2024","adj_xhr","24.8",9,22,10,"33.3","30",25.9,"4.1"
"Olson, Matt","ATL","2024","adj_xhr","25",13,24,12,"41.4","29",29.3,"-0.3"
"Langeliers, Shea","OAK","2024","adj_xhr","22.7",5,16,15,"51.7","29",27.9,"1.1"
"Burger, Jake","MIA","2024","adj_xhr","23.1",12,14,17,"58.6","29",27.8,"1.2"
"Perez, Salvador","KC","2024","adj_xhr","27.5",15,21,16,"57.1","28",32.6,"-4.6"
"Devers, Rafael","BOS","2024","adj_xhr","24.4",8,21,12,"42.9","28",26.8,"1.2"
"Chapman, Matt","SF","2024","adj_xhr","22.6",14,18,11,"40.7","27",26,"1.0"
"Chisholm Jr., Jazz","NYY","2024","adj_xhr","26.8",12,15,11,"42.3","26",25,"1.0"
"Bregman, Alex","HOU","2024","adj_xhr","23.1",9,23,7,"26.9","26",24.7,"1.3"
"Hoskins, Rhys","MIL","2024","adj_xhr","22.6",9,14,11,"42.3","26",22.8,"3.2"
"Tovar, Ezequiel","COL","2024","adj_xhr","22.5",5,19,10,"38.5","26",25.3,"0.7"
"Freeman, Freddie","LAD","2024","adj_xhr","22",15,20,6,"23.1","26",22.3,"3.7"
"Walker, Christian","AZ","2024","adj_xhr","25.2",9,15,13,"50","26",25.1,"0.9"
"Tatis Jr., Fernando","SD","2024","adj_xhr","25.9",8,20,10,"40","25",24.5,"0.5"
"Happ, Ian","CHC","2024","adj_xhr","22.7",9,23,8,"32","25",23.8,"1.2"
"De La Cruz, Elly","CIN","2024","adj_xhr","26.9",4,15,10,"40","25",21.4,"3.6"
