"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"Cabrera, Miguel","408234","2023","0.675",".010","-0.010","-0.002"
"Peralta, David","444482","2023","0.675","-0.015","-0.019","-0.019"
"Blackmon, Charlie","453568","2023","0.803",".010",".034",".011"
"Maldonado, Martín","455117","2023","0.606",".004","-0.009","-0.001"
"Solano, Donovan","456781","2023","0.760","-0.002","-0.038","-0.013"
"McCutchen, Andrew","457705","2023","0.775","-0.001","-0.012","-0.008"
"Turner, Justin","457759","2023","0.800",".016",".011",".010"
"Andrus, Elvis","462101","2023","0.662",".020",".045",".023"
"Santana, Carlos","467793","2023","0.747",".000",".051",".015"
"Belt, Brandon","474832","2023","0.859",".042",".053",".033"
"Gurriel Jr., Yuli","493329","2023","0.663",".008",".039",".014"
"Rojas, Miguel","500743","2023","0.612","-0.016","-0.016","-0.017"
"Escobar, Eduardo","500871","2023","0.613",".023",".045",".023"
"Pham, Tommy","502054","2023","0.774","-0.028","-0.029","-0.029"
"Martinez, J.D.","502110","2023","0.893",".000",".019",".000"
"Goldschmidt, Paul","502671","2023","0.810","-0.003","-0.044","-0.017"
"Altuve, Jose","514888","2023","0.915",".066",".103",".062"
"Segura, Jean","516416","2023","0.556","-0.020","-0.061","-0.031"
"Marte, Starling","516782","2023","0.625","-0.013","-0.078","-0.034"
"Freeman, Freddie","518692","2023","0.977",".008",".002",".003"
"Grandal, Yasmani","518735","2023","0.648",".012",".007",".006"
"Heyward, Jason","518792","2023","0.813",".019",".068",".029"
"LeMahieu, DJ","518934","2023","0.717","-0.012","-0.003","-0.007"
"Moustakas, Mike","519058","2023","0.685",".030",".040",".024"
"Rizzo, Anthony","519203","2023","0.706","-0.002","-0.015","-0.007"
"Stanton, Giancarlo","519317","2023","0.695","-0.028","-0.042","-0.028"
"Perez, Salvador","521692","2023","0.714","-0.011","-0.038","-0.023"
"Flores, Wilmer","527038","2023","0.864",".028",".072",".035"
"Bethancourt, Christian","542194","2023","0.635",".010",".005",".005"
"Ozuna, Marcell","542303","2023","0.904","-0.006","-0.019","-0.012"
"Berti, Jon","542932","2023","0.749",".013","-0.006",".001"
"Crawford, Brandon","543063","2023","0.587","-0.025","-0.065","-0.034"
"Gomes, Yan","543228","2023","0.723",".005","-0.001","-0.009"
"Grossman, Robbie","543257","2023","0.734",".014",".044",".017"
"Hicks, Aaron","543305","2023","0.736",".046",".079",".044"
"Semien, Marcus","543760","2023","0.826",".014",".051",".021"
"Springer III, George","543807","2023","0.732","-0.006","-0.017","-0.012"
"Vázquez, Christian","543877","2023","0.598","-0.003","-0.005","-0.004"
"Grichuk, Randal","545341","2023","0.780",".004",".034",".010"
"Trout, Mike","545361","2023","0.857","-0.012","-0.033","-0.021"
"Harper, Bryce","547180","2023","0.900",".003","-0.031","-0.015"
"Abreu, José","547989","2023","0.679","-0.011","-0.026","-0.019"
"Díaz, Elias","553869","2023","0.725",".022",".033",".018"
"Suárez, Eugenio","553993","2023","0.714",".009","-0.028","-0.011"
"Arenado, Nolan","571448","2023","0.774",".000",".024",".007"
"Farmer, Kyle","571657","2023","0.725",".004",".003",".003"
"Hernández, Enrique","571771","2023","0.646",".013",".020",".010"
"Muncy, Max","571970","2023","0.808","-0.023","-0.029","-0.020"
"Taylor, Michael A.","572191","2023","0.720","-0.002",".009",".002"
"Walker, Christian","572233","2023","0.830",".007",".037",".012"
"Yastrzemski, Mike","573262","2023","0.775",".001",".026",".008"
"Contreras, Willson","575929","2023","0.825","-0.015","-0.023","-0.015"
"Bryant, Kris","592178","2023","0.680","-0.012","-0.046","-0.021"
"Canha, Mark","592192","2023","0.755",".014",".019",".010"
"Castellanos, Nick","592206","2023","0.787",".014",".033",".015"
"Drury, Brandon","592273","2023","0.803",".010",".057",".021"
"Judge, Aaron","592450","2023","1.019","-0.022","-0.099","-0.041"
"Machado, Manny","592518","2023","0.781",".004",".004",".002"
"Pederson, Joc","592626","2023","0.764","-0.029","-0.065","-0.035"
"Realmuto, J.T.","592663","2023","0.762","-0.002","-0.010","-0.010"
"Renfroe, Hunter","592669","2023","0.713",".008",".050",".019"
"Rosario, Eddie","592696","2023","0.755",".001",".014",".005"
"Yelich, Christian","592885","2023","0.817","-0.006","-0.013","-0.009"
"Merrifield, Whit","593160","2023","0.700",".030",".047",".028"
"Bogaerts, Xander","593428","2023","0.790",".030",".039",".025"
"Polanco, Jorge","593871","2023","0.789",".005","-0.027","-0.008"
"Duvall, Adam","594807","2023","0.834",".037",".095",".043"
"Kiermaier, Kevin","595281","2023","0.741",".006",".065",".020"
"Profar, Jurickson","595777","2023","0.689","-0.005",".019","-0.002"
"Báez, Javier","595879","2023","0.592","-0.012","-0.030","-0.018"
"Lindor, Francisco","596019","2023","0.806","-0.001",".013",".000"
"Vogelbach, Daniel","596129","2023","0.743",".004",".003",".003"
"Kepler, Max","596146","2023","0.816","-0.011","-0.019","-0.014"
"Candelario, Jeimer","600869","2023","0.807",".015",".064",".028"
"Urías, Ramón","602104","2023","0.703",".038",".039",".029"
"Anderson, Brian","605119","2023","0.678","-0.005","-0.023","-0.017"
"Bell, Josh","605137","2023","0.744","-0.016","-0.038","-0.022"
"Betts, Mookie","605141","2023","0.987",".013",".016",".009"
"Davis, J.D.","605204","2023","0.737",".004",".001","-0.002"
"Arcia, Orlando","606115","2023","0.741",".017",".022",".014"
"Hernández, Teoscar","606192","2023","0.740",".000","-0.041","-0.019"
"Marte, Ketel","606466","2023","0.843",".010",".058",".019"
"Nimmo, Brandon","607043","2023","0.829",".013",".013",".007"
"Peterson, Jace","607054","2023","0.611","-0.005","-0.025","-0.012"
"Turner, Trea","607208","2023","0.779",".000",".012",".003"
"Ramírez, José","608070","2023","0.831","-0.017","-0.005","-0.013"
"Bregman, Alex","608324","2023","0.804","-0.004",".011",".000"
"Gallo, Joey","608336","2023","0.741",".028",".041",".025"
"Seager, Corey","608369","2023","1.013",".013",".011",".007"
"Meneses, Joey","608841","2023","0.722",".028",".040",".026"
"Swanson, Dansby","621020","2023","0.744","-0.011","-0.042","-0.020"
"Taylor, Chris","621035","2023","0.746",".015",".018",".011"
"Correa, Carlos","621043","2023","0.711","-0.023","-0.022","-0.021"
"Buxton, Byron","621439","2023","0.732","-0.005",".013","-0.005"
"Ward, Taylor","621493","2023","0.756","-0.001","-0.009","-0.009"
"Wisdom, Patrick","621550","2023","0.789","-0.013",".002","-0.006"
"Wendle, Joey","621563","2023","0.554","-0.021","-0.020","-0.021"
"Olson, Matt","621566","2023","0.993",".019",".046",".021"
"Margot, Manuel","622534","2023","0.686",".002",".008","-0.002"
"Mateo, Jorge","622761","2023","0.607","-0.023","-0.031","-0.024"
"Ramírez, Harold","623912","2023","0.813",".042",".047",".030"
"Santander, Anthony","623993","2023","0.797",".020",".046",".021"
"Alonso, Pete","624413","2023","0.822","-0.029","-0.023","-0.022"
"Biggio, Cavan","624415","2023","0.710",".009",".000",".004"
"Conforto, Michael","624424","2023","0.718","-0.006","-0.032","-0.015"
"Frazier, Adam","624428","2023","0.696","-0.021",".035",".001"
"Soler, Jorge","624585","2023","0.853","-0.012","-0.020","-0.013"
"Sosa, Edmundo","624641","2023","0.720",".013",".035",".017"
"Ibáñez, Andy","628451","2023","0.745","-0.007","-0.013","-0.011"
"Cronenworth, Jake","630105","2023","0.690","-0.009",".008","-0.004"
"Anderson, Tim","641313","2023","0.582","-0.007","-0.039","-0.019"
"Bellinger, Cody","641355","2023","0.881",".039",".091",".043"
"Crawford, J.P.","641487","2023","0.818",".006",".054",".019"
"Fraley, Jake","641584","2023","0.782","-0.005",".041",".010"
"Garver, Mitch","641598","2023","0.870",".015",".007",".009"
"Heim, Jonah","641680","2023","0.755",".002",".003",".000"
"McMahon, Ryan","641857","2023","0.753","-0.005","-0.014","-0.010"
"Smith, Dominic","642086","2023","0.692","-0.002","-0.031","-0.014"
"Tellez, Rowdy","642133","2023","0.667","-0.023",".002","-0.018"
"Thaiss, Matt","642136","2023","0.659","-0.018","-0.068","-0.036"
"Siri, Jose","642350","2023","0.761",".010",".052",".021"
"Rosario, Amed","642708","2023","0.683","-0.008","-0.002","-0.008"
"Adames, Willy","642715","2023","0.717","-0.023","-0.029","-0.024"
"Estrada, Thairo","642731","2023","0.731",".023",".045",".024"
"Benintendi, Andrew","643217","2023","0.682","-0.008","-0.019","-0.011"
"Cooper, Garrett","643265","2023","0.723","-0.001","-0.011","-0.005"
"Dubón, Mauricio","643289","2023","0.720",".003",".022",".008"
"Jansen, Danny","643376","2023","0.786",".009",".053",".020"
"Kemp, Tony","643393","2023","0.607","-0.032","-0.017","-0.021"
"Kiner-Falefa, Isiah","643396","2023","0.646","-0.012","-0.008","-0.009"
"McNeil, Jeff","643446","2023","0.711",".019",".038",".020"
"Tauchman, Mike","643565","2023","0.739","-0.015","-0.023","-0.015"
"Albies, Ozzie","645277","2023","0.849",".014",".046",".018"
"Devers, Rafael","646240","2023","0.851","-0.011","-0.039","-0.021"
"Naylor, Josh","647304","2023","0.843",".015",".011",".008"
"Díaz, Aledmys","649557","2023","0.617","-0.006",".010","-0.003"
"Arraez, Luis","650333","2023","0.862",".025",".011",".015"
"Jiménez, Eloy","650391","2023","0.758",".014",".015",".011"
"Torres, Gleyber","650402","2023","0.800","-0.009","-0.025","-0.016"
"Castro, Willi","650489","2023","0.750",".026",".050",".026"
"Díaz, Yandy","650490","2023","0.932",".025",".035",".019"
"De La Cruz, Bryan","650559","2023","0.715","-0.016","-0.034","-0.022"
"Rengifo, Luis","650859","2023","0.783",".018",".041",".016"
"Monasterio, Andruw","655316","2023","0.678",".011","-0.025","-0.006"
"Chapman, Matt","656305","2023","0.754",".010","-0.033","-0.009"
"Joe, Connor","656582","2023","0.760","-0.001",".017",".003"
"McKinstry, Zach","656716","2023","0.653","-0.016","-0.044","-0.023"
